gene_id	go_id	GO_LEVEL	METAGO_L2	METAGO_L3	METAGO_L4	METAGO_L5
Pa_6_4460	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_6_4470	GO:0006259	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139|GO:0044260
Pa_6_4470	GO:0016787	3	GO:0003824	GO:0016787	GO:0016787	GO:0016787
Pa_6_4480	GO:0006996	5	GO:0009987	GO:0071840	GO:0016043	GO:0006996
Pa_6_4490	GO:0003677	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003677
Pa_6_4490	GO:0003700	3	GO:0140110	GO:0003700	GO:0003700	GO:0003700
Pa_6_4490	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4490	GO:0006351	10	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0009059|GO:0019438|GO:0018130|GO:0044271|GO:1901362|GO:0006139|GO:0044260
Pa_6_450	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_450	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_6_4505	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4505	GO:0016021	4	GO:0110165	GO:0031224	GO:0016021	GO:0016021
Pa_6_4520	GO:0008150	1	GO:0008150	GO:0008150	GO:0008150	GO:0008150
Pa_6_4520	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_6_4530	GO:0005783	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4530	GO:0006464	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0043170|GO:1901564	GO:0043412|GO:0019538|GO:0044260
