Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_3_910	0.13	0.76	2.37	2.01	0.9	-0.13	-1.43	-2.15	-1.39	-0.64
Pa_3_925	0.91	-0.49	0.24	0.98	1.38	0.79	-0.24	-1.65	-1.44	-1.13
Pa_3_960	-0.3	0.59	0.36	0.25	0.24	-0.01	0.01	-0.26	-1.08	-2.63
Pa_3_970	0.08	0.07	1.27	1.11	0.45	-0.07	-1.07	-3.28	-3.88	-4.41
Pa_3_9700	0.91	1.68	0.64	0.03	0.56	-0.03	-0.15	-0.85	-1.21	-1.83
Pa_3_9710	0.8	1.56	0.86	0.21	0.27	-0.21	-0.72	-1.08	-1.17	-1.07
Pa_3_9850	-0.07	0.07	0.9	0.68	0.73	0.43	-0.59	-1.57	-1.83	-1.09
Pa_3_9980	0.23	0.23	1.52	1.3	0.28	-0.23	-0.47	-0.49	-0.69	-1.12
Pa_3_9990	0.47	0.25	1.52	1.26	0.36	-0.25	-1	-1.43	-0.54	-0.7
Pa_4_1215	2.04	2.49	1.68	0.15	-0.15	0.16	-0.49	-1.22	-1.19	-0.58
Pa_4_1230	0.66	0.52	0.3	0.2	0.17	-0.17	-0.61	-0.97	-1.28	-1.9
Pa_4_1270	-0.04	0.48	0.37	0.75	0.33	0.04	-0.65	-0.68	-1.27	-2.12
Pa_4_1300	1.12	0.93	0.75	0.19	0.35	-0.19	-0.67	-1.21	-1.58	-1.85
Pa_4_1440	0.24	0.92	0.36	0.11	0.32	-0.11	-0.15	-0.37	-1.1	-1.9
Pa_4_1450	0.55	-0.21	1.4	0.72	0.35	0.21	-0.5	-0.87	-1.11	-1.79
Pa_4_1555	0.2	0.05	0.1	-0.05	-0.09	0.08	0.25	-0.07	-0.98	-2.8
Pa_4_1590	2.79	1.17	1.29	0.05	0.01	-0.01	-0.62	-0.85	-1.04	-1.17
Pa_4_1600	2.98	1.9	1.45	0.16	-0.01	0.01	-0.77	-1.1	-1.4	-1.83
Pa_4_1610	1.95	0.47	0.85	0.27	0.34	-0.27	-1.06	-1.26	-1.38	-0.9
Pa_4_1620	3.05	1.43	1.3	0.17	0.11	-0.11	-0.83	-0.9	-0.9	-0.8
Pa_4_1625	2.14	1.05	0.82	-0.07	0.66	0.07	-0.78	-1.24	-1.55	-1.5
Pa_4_1770	-0.76	1.19	0.77	0.64	0.1	0.02	-0.29	-0.02	-0.09	-1.74
Pa_4_1790	0.26	-0.26	1.07	1.69	1.34	0.29	-0.98	-2.81	-2.99	-0.99
Pa_4_1860	0.83	1.07	0.58	0.46	0.11	-0.11	-0.58	-1.1	-0.83	-1.6
Pa_4_1880	3.47	1.98	0.91	0.44	0	-0.17	0	-0.19	-0.78	-1.85
Pa_4_1900	0.09	0.21	1	0.8	0.54	-0.09	-0.97	-1.52	-1.73	-2.31
Pa_4_1950	0.99	1.23	0.31	0.51	0.29	-0.29	-0.63	-0.63	-0.95	-1.68
Pa_4_1980	0.69	0.74	0.58	0.41	0.07	-0.07	-0.23	-0.5	-0.9	-1.96
Pa_4_20	0.63	0.5	0.79	0.47	0.23	-0.23	-0.63	-2.42	-2.33	-3.03
Pa_4_2100	0.88	1.02	0.53	0.07	-0.01	0.01	-0.22	-0.4	-1.06	-2.21
Pa_4_2120	2.2	2.82	2.02	0.45	-0.14	0.14	-0.81	-1.55	-1.76	-1.56
Pa_4_2280	1.06	1.36	0.98	0.69	0.1	-0.1	-0.32	-0.39	-0.67	-1.53
Pa_4_230	1.01	0.93	0.86	1.39	0.35	-0.35	-1.14	-1.62	-1.46	-1.39
Pa_4_2690	-0.11	0.88	0.84	0.11	0.25	0.15	-0.45	-0.64	-1.22	-1.85
Pa_4_290	0.98	0.62	0.28	0.22	-0.13	0.13	-0.92	-1.4	-1.9	-1.46
Pa_4_340	0.2	0.47	1.2	1.24	0.22	-0.2	-0.85	-2	-1.92	-1.81
Pa_4_3405	0.07	0.17	1.56	1.34	0.79	-0.07	-0.77	-0.87	-1.01	-1.44
Pa_4_3710	-0.33	0.08	0.03	-0.03	0.41	0.14	0.06	-0.33	-1.21	-2.89
Pa_4_3960	-0.15	0.15	1.29	0.67	1	0.34	-0.35	-1.43	-1.7	-1.68
Pa_4_4010	0.53	1.89	0.09	0.52	-0.09	0.1	-1.08	-2.01	-1.72	-3.82
Pa_4_4210	4.65	3.24	2.8	0.3	-0.06	0.06	-1.04	-1.98	-2.24	-2.41
Pa_4_4230	5.89	3.67	2.98	0.15	-0.15	0.22	-0.74	-1.49	-1.53	-1.87
Pa_4_450	0.82	0.27	0.12	0.13	0.09	-0.09	-0.59	-0.99	-1.37	-1.76
Pa_4_4500	4.27	2.23	2.27	0.24	-0.15	0.15	-0.76	-2.88	-2.23	-2.12
Pa_4_4510	1.13	0.72	0.3	0.24	0.02	-0.02	-0.54	-0.79	-0.65	-1.44
Pa_4_4550	1.22	-0.44	0.76	1.91	1.66	0.44	-0.82	-1.69	-2.11	-1.62
Pa_4_4770	2.3	1.72	0.6	0.08	0.01	-0.01	-0.11	-0.49	-0.73	-1.79
Pa_4_4850	0.89	1.17	0.75	0.07	0.08	-0.07	-0.41	-0.84	-1.43	-2.42
Pa_4_50	1.19	0.75	0.7	1.06	0.36	-0.36	-1.52	-1.51	-1.65	-1.69
Pa_4_5020	0.68	0.52	0.06	0.02	0.06	-0.02	-0.25	-0.64	-1.18	-1.85
Pa_4_5440	1.84	1.37	0.58	0.91	0.09	-0.09	-0.98	-1.14	-0.69	-0.48
Pa_4_5460	1.14	1.28	0.49	0.57	0	0	-0.48	-0.67	-1.53	-2.16
Pa_4_560	-1.22	1.06	0.22	0.76	1.02	0.77	-0.22	-0.88	-1.15	-2.28
Pa_4_5860	0.98	0.43	1.4	0.58	0.45	-0.43	-0.94	-1.15	-1.3	-1.2
Pa_4_5870	2.66	3.11	2.19	1.1	0.16	-0.16	-0.85	-1.46	-1.56	-1.45
Pa_4_590	0.16	0.16	0.47	0.29	0.16	-0.16	-0.2	-0.44	-1.12	-3
Pa_4_6210	-0.69	1.01	0.07	0.91	0.47	0.46	-0.07	-0.22	-0.77	-2.38
Pa_4_6590	0	0.8	0	0.7	0.1	0.36	-0.7	-1.17	-1.61	-2.69
Pa_4_70	-0.01	0.01	0.42	2.06	0.75	0.24	-0.99	-1.74	-1.62	-0.98
Pa_4_7095	-0.11	0.34	0.89	1.35	0.58	0.11	-0.75	-0.99	-1.31	-0.97
Pa_4_7450	0.16	-0.5	1.16	0.74	0.74	0.47	-0.16	-1.66	-1.7	-0.28
Pa_4_7760	0.75	1.63	1.14	0.42	0.02	-0.02	-0.63	-1.02	-1.74	-1.83
Pa_4_8300	-0.22	0.22	1.11	0.88	0.84	0.56	-0.4	-1.68	-2.41	-2.15
Pa_4_840	-0.26	0.39	1.2	0.19	0.48	0.53	-0.19	-1.37	-1.57	-1.31
Pa_4_870	0.75	0.96	0.79	0.31	0.33	-0.31	-0.7	-1.02	-1.37	-1.92
Pa_4_910	3.22	1.23	1.02	0.98	-0.1	0.1	-0.41	-0.77	-0.65	-1.11
Pa_4_920	2.36	1.43	1.85	1.29	0.31	-0.31	-0.79	-1.04	-1.15	-1.03
Pa_4_9810	1.17	0.62	0.27	0.1	0.1	-0.12	-0.1	-0.38	-0.95	-1.34
Pa_4_9910	-0.17	0.17	1	0.97	0.5	0.46	-0.49	-1.39	-1.11	-1.56
Pa_4_9940	1.77	1.4	0.98	0.73	0.06	-0.06	-0.75	-1.03	-0.96	-0.97
Pa_5_10082	-0.08	0.32	1.77	1.26	0.67	0.08	-0.76	-1.12	-0.78	-0.84
Pa_5_10090	1.89	1.25	0.81	0.26	0.1	-0.1	-0.67	-1.21	-1.35	-1.47
