Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_6_1620	-0.02	-0.49	-0.44	-0.41	0.02	0.06	0.61	1.31	0.51	-1.38
Pa_6_2830	-0.04	-0.72	-0.62	-0.22	0.04	0.85	1.62	1.31	0.75	-1.41
Pa_6_3560	-0.65	-0.15	1.41	2.42	2.16	0.51	-0.14	-0.38	0.14	-0.46
Pa_6_4260	0.02	-1.15	-0.52	-0.29	-0.02	0.95	1.45	0.94	0.1	-1.05
Pa_6_5010	-1.42	-1.39	1.84	3.85	3.52	2.03	0.47	-0.47	-0.9	-0.99
Pa_6_558	-4.33	-3.73	5.02	3.35	1.68	0.36	-0.38	-0.04	-0.23	0.04
Pa_6_6780	-0.6	0.06	2.57	3.71	2.61	0.93	-0.06	-0.54	-0.98	-1.15
Pa_6_7640	-0.35	0.04	2.24	1.74	0.63	-0.04	-0.17	-0.51	-0.34	1.49
Pa_6_850	-0.67	-1.1	0.98	3.38	1.83	0.71	-0.09	0.09	-0.31	-1.1
Pa_6_8750	-0.8	-1.66	-1.01	-0.24	0.24	0.81	1.29	1.31	0.68	-2.33
Pa_6_9260	-0.32	-0.18	-0.48	-0.32	0.18	0.5	1.1	0.94	0.39	-1.46
Pa_7_11480	-0.94	-1.02	2.01	2.86	2.25	0.95	-0.06	-0.81	-0.8	0.06
Pa_7_2950	-0.02	-0.64	0.02	1.91	2.16	1.7	0.59	-0.5	-0.83	-1
Pa_7_3020	-2.46	-1.25	0.24	0.51	1	0.93	1.17	-0.37	-0.24	-0.79
Pa_7_4010	-0.14	-1.34	4.13	4.15	3.31	1.71	0.14	-0.96	-2.09	-1
Pa_7_4170	0.08	-0.31	-0.3	-0.12	0.35	1.02	1.34	0.8	-0.08	-2.35
Pa_7_4430	-1.89	-1.13	0.79	0.8	0.96	0.49	0.29	-0.99	-0.73	-0.29
Pa_7_4770	-0.58	-2.89	2.52	2.93	2.44	1.29	0.19	-0.19	-1.91	-2.47
Pa_7_5190	0.07	-0.67	-0.67	-0.34	0.1	0.58	1.27	1.05	-0.07	-1.33
Pa_7_5200	-0.23	-0.67	-0.67	-0.18	0.25	0.45	1.22	1.15	0.18	-2.4
Pa_7_5760	-0.36	-1.33	0.41	0.1	-0.1	0.43	0.69	0.5	-0.24	-1.83
Pa_7_695	-0.49	-0.15	5.44	4.3	2.14	0.8	0.12	-0.12	-0.32	-0.31
Pa_7_9246	-0.34	-0.29	-0.55	1.66	1.86	1.28	0.64	-1.11	-0.3	0.29
Pa_7_9790	-0.54	-1.68	-0.55	0.16	0.85	0.48	0.38	0.43	-0.16	-2.4
