Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_2_6265	-0.96	-0.84	-0.96	-0.35	-0.02	0.02	0.94	1.83	2.63	1.5
Pa_2_6330	-1.56	-0.23	0.23	0.26	-0.5	-1.11	-1.32	0.66	4.34	3.97
Pa_2_6710	0.37	-0.94	-0.25	-0.41	-0.2	-0.26	0.2	0.45	1.15	1.65
Pa_2_6810	-1.7	-1.94	-1.88	-1.74	-0.63	0.63	1.19	1.05	1.82	2.89
Pa_2_6815	-0.65	-0.29	-0.54	-0.32	-0.03	0.03	0.09	0.39	2.73	2.69
Pa_2_6880	-0.54	0	0	0	0.16	-0.03	-0.26	0.3	2.12	1.94
Pa_2_6900	-0.21	-0.39	-0.33	-0.4	-0.19	0.19	0.62	2.71	4.64	3.78
Pa_2_7610	-0.86	-0.72	-0.84	-0.93	-0.4	0.4	0.8	1.16	1.96	2.2
Pa_2_7640	-0.16	0.2	0.02	0.34	-0.02	-0.04	-0.62	-0.29	1.93	4.21
Pa_2_7670	-1.44	-0.31	-0.69	-0.8	-0.29	0.29	1.03	1.93	3.45	4.62
Pa_2_7766	-0.7	-0.05	-0.31	-0.21	-0.5	0.05	0.91	2.02	2.05	2.14
Pa_2_7998	-1.39	-0.39	-0.31	-0.71	0.04	-0.04	0.04	0.32	1.87	2.25
Pa_2_8100	-0.62	0.02	-0.32	0.39	-0.02	-0.24	-0.55	0.84	4.13	3.87
Pa_2_8322	-0.32	-0.25	-0.72	-0.53	-0.05	0.05	0.27	0.78	3.63	3.98
Pa_2_8390	-0.42	0.29	0.26	0.21	-0.26	-0.35	-0.69	-0.21	2.2	1.63
Pa_2_8400	-0.82	-0.87	-0.79	-0.66	-0.11	0.11	0.41	1.56	1.79	0.41
Pa_2_8405	-0.43	-0.59	-0.35	-0.41	0.07	-0.06	0.06	0.97	3	2.47
Pa_2_8710	-0.33	-0.44	-0.38	-0.55	-0.5	0.33	0.85	1.99	3.75	2.93
Pa_3_10312	-0.52	-0.27	-0.22	-0.44	0.06	-0.06	0.28	0.56	4.49	4.36
Pa_3_10455	-1.51	-1.24	-1.49	-0.22	-0.1	0.1	2.25	2.65	3.22	1.7
Pa_3_10460	-0.98	-0.74	-0.87	-0.58	-0.32	0.32	1.94	2.22	3.46	5
Pa_3_10570	-0.43	-1.65	-1.93	-1.07	-0.45	0.43	1.15	1.11	2.38	1.87
Pa_3_10780	-0.29	-0.86	-0.46	-0.12	-0.06	0.06	0.17	1.33	5.98	6.34
Pa_3_10860	-0.31	-0.22	-0.29	0	0.12	-0.02	0	0.27	1.56	2.94
Pa_3_10890	-0.08	-0.06	0.08	-0.1	-0.07	0.05	-0.05	1.17	4.77	4.62
Pa_3_11197	-0.16	-0.05	-0.03	-0.04	0.03	-0.2	0.57	1.38	2.57	3.54
Pa_3_11280	-1	-0.71	-0.99	-1.47	-0.8	0.71	1.43	1.33	1	0.78
Pa_3_11370	-0.6	-0.23	-0.07	0.07	-0.15	-0.16	0.93	2.43	2.35	0.72
Pa_3_11400	-1.12	-1.13	-1.28	-0.83	-0.4	0.4	1.63	2.48	2.27	0.41
Pa_3_1190	-0.31	-0.35	-0.44	-0.28	-0.18	0.18	0.38	1.37	3.67	4.23
Pa_3_1290	-0.09	0.21	-0.07	0.03	-0.15	-0.03	-0.13	0.78	5.69	5.03
Pa_3_1433	0.12	0.01	-0.18	-0.35	-0.01	0.05	-0.12	-0.15	1.64	2.43
Pa_3_1970	-1.25	-0.86	-1.17	-0.78	-0.17	0.17	0.56	2.39	1.89	3.15
Pa_3_2010	0.03	-0.05	-0.09	-0.1	0.12	-0.04	-0.03	0.83	4.64	6.72
Pa_3_2710	-0.74	-0.66	-0.69	-0.06	0.25	0	0	0.8	2.52	1.78
Pa_3_2730	-1.99	-0.98	-1.19	-0.98	-0.27	0.27	1.04	1.34	1.07	0.71
Pa_3_2750	-0.43	-0.33	-0.5	-0.35	-0.11	0.11	0.24	2.18	6.3	5.86
