GENE	Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_1_23060	-0.39	-0.14	-0.27	-0.54	-0.19	0.14	0.21	1.31	2.62	2.58
Pa_1_23170	0.37	0.54	0.62	0.41	0.14	-0.14	-0.18	-0.63	-1.26	-2.06
Pa_1_23357	0	0.41	0.39	0	-0.55	-0.32	-0.67	-0.35	2.07	2.34
Pa_1_23470	2.14	1.02	1.3	0.3	0.1	-0.1	-0.87	-1.48	-1.28	-1.49
Pa_1_23640	-1.21	-1.58	-1.73	-1.44	-0.57	0.57	1.4	1.65	1.6	1.35
Pa_1_23700	-1.19	0.16	-0.52	-0.07	-0.12	-0.18	0.07	0.51	1.09	2.1
Pa_1_23710	-0.9	-1.28	0.28	-0.28	-0.82	-0.9	0.38	2.23	3.06	1.18
Pa_1_23743	-0.42	0.7	0.26	0.19	-0.19	-0.41	-0.48	-0.39	0.49	2.09
Pa_1_23870	-0.33	-0.35	-0.44	0.11	0.07	-0.14	-0.07	4.45	5.49	4.74
Pa_1_24380	-0.91	-0.39	-0.48	-0.63	-0.39	0.39	1.56	2.42	2.68	0.82
Pa_1_24410	0.86	1.92	1.55	0.72	0.04	-0.04	-1.12	-1.76	-2.34	-2.79
Pa_1_24420	2.26	1.69	1.32	0.47	0.06	-0.06	-0.42	-0.67	-1.13	-1.69
Pa_1_24450	2.67	1.95	0.34	-0.23	-0.71	-0.14	0.14	0.29	-0.49	-1.06
Pa_1_24480	1.46	0.48	0.04	-0.04	0.03	-0.06	-0.03	-1.1	-0.31	0.5
Pa_1_24510	-0.89	0.07	-0.53	0.33	-0.04	-0.26	-0.37	0.04	1.79	2.68
Pa_1_24540	0.17	0.92	-0.25	0.07	-0.07	-0.09	-0.2	-0.1	0.87	3.27
Pa_1_24630	-0.24	0.22	0.53	-0.22	0.88	0.95	0.41	-0.25	-1.65	-1.74
Pa_1_2470	2.94	3.46	2.47	0.8	-0.02	0.02	-0.96	-1.82	-2.12	-2.26
Pa_1_2490	-0.42	0.33	0.51	0.53	0.74	-0.33	-1.27	-1.27	-0.52	2.32
Pa_1_2740	-0.43	-0.06	-0.18	-0.25	-0.23	0.06	0.23	0.79	0.8	3.44
Pa_1_280	-0.03	0.1	0.03	-0.04	-0.27	-0.15	-0.31	0.63	2.49	1.97
Pa_1_2830	-0.47	-0.74	-0.26	-0.53	-0.16	0.41	1.57	2.52	2.54	0.16
Pa_1_2940	-0.01	0.09	-0.06	-0.09	0	0	-0.14	0.27	3.49	5.08
Pa_1_295	-1.11	-0.72	2.97	1.53	0.57	0.19	-0.19	-0.44	-0.23	0.33
Pa_1_2960	-0.09	-0.17	-0.23	-0.29	-0.28	0.09	0.6	3.11	3.38	3.51
Pa_1_3010	-0.47	0.04	-0.28	0.03	-0.03	-0.09	-0.13	0.26	2.52	2.59
Pa_1_3090	1.41	0.78	1.86	0.88	0.14	-0.14	-1.39	-2.81	-2.64	-2.4
Pa_1_3110	-0.25	0.07	0.88	0.66	0.74	0.42	-0.07	-1.01	-1.58	-1.71
Pa_1_3120	0.15	0.45	0.25	0.28	0.04	-0.04	-0.21	-0.97	-2.11	-2.64
Pa_1_3130	0.12	0.18	0.06	0.09	-0.06	0.19	-0.12	-1.07	-2.22	-2.54
